Gene ID,Genomic Location (Gene),Gene Name or Symbol
PF3D7_0100100,"Pf3D7_01_v3:29,510..37,126(+)",VAR
PF3D7_0100200,"Pf3D7_01_v3:38,982..40,207(-)",RIF
PF3D7_0100300,"Pf3D7_01_v3:42,367..46,507(-)",VAR
PF3D7_0100400,"Pf3D7_01_v3:50,363..51,636(+)",RIF
PF3D7_0100500,"Pf3D7_01_v3:53,169..53,280(-)",N/A
PF3D7_0100600,"Pf3D7_01_v3:53,778..55,006(-)",RIF
PF3D7_0100700,"Pf3D7_01_v3:56,690..56,893(-)",N/A
PF3D7_0100800,"Pf3D7_01_v3:59,772..61,003(+)",RIF
PF3D7_0100900,"Pf3D7_01_v3:62,187..63,400(-)",RIF
PF3D7_0101000,"Pf3D7_01_v3:65,817..66,989(-)",RIF
PF3D7_0101100,"Pf3D7_01_v3:69,304..70,417(-)",EPF4
PF3D7_0101200,"Pf3D7_01_v3:71,624..72,426(+)",EPF3
PF3D7_0101300,"Pf3D7_01_v3:74,295..75,622(+)",MC-2TM
PF3D7_0101400,"Pf3D7_01_v3:75,982..76,809(-)",EPF1
PF3D7_0101500,"Pf3D7_01_v3:78,241..79,891(+)",VAR
PF3D7_0101600,"Pf3D7_01_v3:81,765..83,106(-)",RIF
PF3D7_0101700,"Pf3D7_01_v3:84,791..86,152(-)",VAR
PF3D7_0101800,"Pf3D7_01_v3:87,203..88,177(-)",N/A
PF3D7_0101900,"Pf3D7_01_v3:90,242..91,420(-)",RIF
PF3D7_0102000,"Pf3D7_01_v3:93,113..93,875(-)",N/A
PF3D7_0102100,"Pf3D7_01_v3:95,050..95,899(+)",N/A
PF3D7_0102200,"Pf3D7_01_v3:97,590..103,615(+)",RESA
PF3D7_0102300,"Pf3D7_01_v3:104,058..105,792(+)",N/A
PF3D7_0102400,"Pf3D7_01_v3:107,197..108,348(-)",N/A
PF3D7_0102500,"Pf3D7_01_v3:109,005..117,516(-)",EBA181
PF3D7_0102600,"Pf3D7_01_v3:118,812..122,534(-)",FIKK1
PF3D7_0102700,"Pf3D7_01_v3:124,394..126,213(+)",MaTrA
PF3D7_0102800,"Pf3D7_01_v3:125,835..128,373(-)",N/A
